,imgpath,labels,encoded_labels
0,animals/animals/swan/1f999b23eb.jpg,swan,81
1,animals/animals/swan/71a1f7f436.jpg,swan,81
2,animals/animals/swan/06e6bbdbc4.jpg,swan,81
3,animals/animals/swan/7f4267418a.jpg,swan,81
4,animals/animals/swan/08b84fc879.jpg,swan,81
5,animals/animals/swan/285e5608e4.jpg,swan,81
6,animals/animals/swan/26c3011b3b.jpg,swan,81
7,animals/animals/swan/8bc9194695.jpg,swan,81
8,animals/animals/swan/85a97b4275.jpg,swan,81
9,animals/animals/swan/22c6670d0d.jpg,swan,81
10,animals/animals/swan/2ac972b05d.jpg,swan,81
11,animals/animals/swan/86fa70a729.jpg,swan,81
12,animals/animals/swan/7c4723af2f.jpg,swan,81
13,animals/animals/swan/1ae8f734f4.jpg,swan,81
14,animals/animals/swan/70a9ce4a92.jpg,swan,81
15,animals/animals/swan/63f8a749dc.jpg,swan,81
16,animals/animals/swan/2e6bea63b2.jpg,swan,81
17,animals/animals/swan/72e127323d.jpg,swan,81
18,animals/animals/swan/0dbe9a2485.jpg,swan,81
19,animals/animals/swan/36cded76a0.jpg,swan,81
20,animals/animals/swan/8ef0ae3f42.jpg,swan,81
21,animals/animals/swan/9f88772bef.jpg,swan,81
22,animals/animals/swan/1e416970b1.jpg,swan,81
23,animals/animals/swan/7a1230ccff.jpg,swan,81
24,animals/animals/swan/234d3389c2.jpg,swan,81
25,animals/animals/swan/3a83dfbaa3.jpg,swan,81
26,animals/animals/swan/077b6fe870.jpg,swan,81
27,animals/animals/swan/7d6b052ff0.jpg,swan,81
28,animals/animals/swan/11dcda034d.jpg,swan,81
29,animals/animals/swan/6e2efc3bf3.jpg,swan,81
30,animals/animals/swan/35faa6ed4c.jpg,swan,81
31,animals/animals/swan/67daa3e762.jpg,swan,81
32,animals/animals/swan/93fab6c725.jpg,swan,81
33,animals/animals/swan/7c7e0aedfe.jpg,swan,81
34,animals/animals/swan/8e2ce5f005.jpg,swan,81
35,animals/animals/swan/88a71a0438.jpg,swan,81
36,animals/animals/swan/4b39208a81.jpg,swan,81
37,animals/animals/swan/7afa620449.jpg,swan,81
38,animals/animals/swan/4c78348e59.jpg,swan,81
39,animals/animals/swan/407dea11df.jpg,swan,81
40,animals/animals/swan/09b33c8921.jpg,swan,81
41,animals/animals/swan/2a3abb6304.jpg,swan,81
42,animals/animals/swan/86d096a7e8.jpg,swan,81
43,animals/animals/swan/1c54bfc0ab.jpg,swan,81
44,animals/animals/swan/9c409c11af.jpg,swan,81
45,animals/animals/swan/3fb8127f2f.jpg,swan,81
46,animals/animals/swan/27d864cabb.jpg,swan,81
47,animals/animals/swan/7e2a453559.jpg,swan,81
48,animals/animals/swan/76ea10b2e8.jpg,swan,81
49,animals/animals/swan/023be31900.jpg,swan,81
50,animals/animals/swan/06e50955d5.jpg,swan,81
51,animals/animals/swan/45ca0d8c86.jpg,swan,81
52,animals/animals/swan/09d943ef54.jpg,swan,81
53,animals/animals/swan/61d384ee68.jpg,swan,81
54,animals/animals/swan/8b9d387172.jpg,swan,81
55,animals/animals/swan/27f44e30dc.jpg,swan,81
56,animals/animals/swan/3d41996928.jpg,swan,81
57,animals/animals/swan/262fb14355.jpg,swan,81
58,animals/animals/swan/9b25b31416.jpg,swan,81
59,animals/animals/swan/2f1178f51c.jpg,swan,81
60,animals/animals/porcupine/2e2271743d.jpg,porcupine,65
61,animals/animals/porcupine/08bcc18e9e.jpg,porcupine,65
62,animals/animals/porcupine/51f3113995.jpg,porcupine,65
63,animals/animals/porcupine/9bf4b4c6dd.jpg,porcupine,65
64,animals/animals/porcupine/5d7ba1d94c.jpg,porcupine,65
65,animals/animals/porcupine/2ec718970d.jpg,porcupine,65
66,animals/animals/porcupine/0e54bf36b6.jpg,porcupine,65
67,animals/animals/porcupine/92b85ece75.jpg,porcupine,65
68,animals/animals/porcupine/68ca5b9ee4.jpg,porcupine,65
69,animals/animals/porcupine/3cb9fabd9d.jpg,porcupine,65
70,animals/animals/porcupine/3eef52fe2e.jpg,porcupine,65
71,animals/animals/porcupine/1a0c48231c.jpg,porcupine,65
72,animals/animals/porcupine/92dbe0c2dd.jpg,porcupine,65
73,animals/animals/porcupine/14c3d3de9b.jpg,porcupine,65
74,animals/animals/porcupine/8a55ee7988.jpg,porcupine,65
75,animals/animals/porcupine/1d7f7eddfc.jpg,porcupine,65
76,animals/animals/porcupine/6f26c7f185.jpg,porcupine,65
77,animals/animals/porcupine/80da7a6911.jpg,porcupine,65
78,animals/animals/porcupine/21bd52005e.jpg,porcupine,65
79,animals/animals/porcupine/0a68ca3e1a.jpg,porcupine,65
80,animals/animals/porcupine/4b1a7a5958.jpg,porcupine,65
81,animals/animals/porcupine/3fa11e31b8.jpg,porcupine,65
82,animals/animals/porcupine/3d87061f6d.jpg,porcupine,65
83,animals/animals/porcupine/8f7d291b17.jpg,porcupine,65
84,animals/animals/porcupine/98a3d07692.jpg,porcupine,65
85,animals/animals/porcupine/1c6a5e347e.jpg,porcupine,65
86,animals/animals/porcupine/7cc50665b4.jpg,porcupine,65
87,animals/animals/porcupine/8f502f4b07.jpg,porcupine,65
88,animals/animals/porcupine/06ba7a1659.jpg,porcupine,65
89,animals/animals/porcupine/6ac23d58ea.jpg,porcupine,65
90,animals/animals/porcupine/2efdb33ff1.jpg,porcupine,65
91,animals/animals/porcupine/4a8f7357aa.jpg,porcupine,65
92,animals/animals/porcupine/41f87a1c60.jpg,porcupine,65
93,animals/animals/porcupine/6cbd2ad13d.jpg,porcupine,65
94,animals/animals/porcupine/84f479960f.jpg,porcupine,65
95,animals/animals/porcupine/10c36ef494.jpg,porcupine,65
96,animals/animals/porcupine/5a15040fd9.jpg,porcupine,65
97,animals/animals/porcupine/1edd89cffe.jpg,porcupine,65
98,animals/animals/porcupine/71c1cffd36.jpg,porcupine,65
99,animals/animals/porcupine/29bf2d96a8.jpg,porcupine,65
100,animals/animals/porcupine/5f0a0c438f.jpg,porcupine,65
101,animals/animals/porcupine/4f39c4975a.jpg,porcupine,65
102,animals/animals/porcupine/63c1106131.jpg,porcupine,65
103,animals/animals/porcupine/3c52e5645c.jpg,porcupine,65
104,animals/animals/porcupine/8f69def78d.jpg,porcupine,65
105,animals/animals/porcupine/60cceb3018.jpg,porcupine,65
106,animals/animals/porcupine/5e0c50fb50.jpg,porcupine,65
107,animals/animals/porcupine/31bef9480d.jpg,porcupine,65
108,animals/animals/porcupine/85cb012dbc.jpg,porcupine,65
109,animals/animals/porcupine/81aba6691a.jpg,porcupine,65
110,animals/animals/porcupine/0e0854d5fa.jpg,porcupine,65
111,animals/animals/porcupine/1b4b7abd9d.jpg,porcupine,65
112,animals/animals/porcupine/0a437e38fa.jpg,porcupine,65
113,animals/animals/porcupine/23fe18fc3f.jpg,porcupine,65
114,animals/animals/porcupine/04ae1642ea.jpg,porcupine,65
115,animals/animals/porcupine/89e93ecb79.jpg,porcupine,65
116,animals/animals/porcupine/4bdaaecee6.jpg,porcupine,65
117,animals/animals/porcupine/5e7e817dc9.jpg,porcupine,65
118,animals/animals/porcupine/81a9861d0f.jpg,porcupine,65
119,animals/animals/porcupine/6cae634b49.jpg,porcupine,65
120,animals/animals/snake/207bf76d96.jpg,snake,76
121,animals/animals/snake/1361b2aa41.jpg,snake,76
122,animals/animals/snake/2c3cbf2929.jpg,snake,76
123,animals/animals/snake/276e7897fa.jpg,snake,76
124,animals/animals/snake/56ee3ca187.jpg,snake,76
125,animals/animals/snake/6b4b318917.jpg,snake,76
126,animals/animals/snake/51e556629f.jpg,snake,76
127,animals/animals/snake/41ea01f58c.jpg,snake,76
128,animals/animals/snake/32d6a90818.jpg,snake,76
129,animals/animals/snake/81a1ff5ac8.jpg,snake,76
130,animals/animals/snake/0adeed6415.jpg,snake,76
131,animals/animals/snake/7701d7752e.jpg,snake,76
132,animals/animals/snake/3171e06ee3.jpg,snake,76
133,animals/animals/snake/117fedcf77.jpg,snake,76
134,animals/animals/snake/5e5560a3ea.jpg,snake,76
135,animals/animals/snake/68fa005f8c.jpg,snake,76
136,animals/animals/snake/2bfed11a46.jpg,snake,76
137,animals/animals/snake/30e92dc7a1.jpg,snake,76
138,animals/animals/snake/99b4143227.jpg,snake,76
139,animals/animals/snake/29a9a8dd3e.jpg,snake,76
140,animals/animals/snake/3cfce43d42.jpg,snake,76
141,animals/animals/snake/1088ac3e42.jpg,snake,76
142,animals/animals/snake/1407bc5b76.jpg,snake,76
143,animals/animals/snake/04a37e0cde.jpg,snake,76
144,animals/animals/snake/358b751986.jpg,snake,76
145,animals/animals/snake/4bf4f30634.jpg,snake,76
146,animals/animals/snake/1c55460bfc.jpg,snake,76
147,animals/animals/snake/8d75432aeb.jpg,snake,76
148,animals/animals/snake/3a00537173.jpg,snake,76
149,animals/animals/snake/2e263a2559.jpg,snake,76
150,animals/animals/snake/91dd6e3269.jpg,snake,76
151,animals/animals/snake/60afeda678.jpg,snake,76
152,animals/animals/snake/9090f8d981.jpg,snake,76
153,animals/animals/snake/77bc1747df.jpg,snake,76
154,animals/animals/snake/3ab9ac5706.jpg,snake,76
155,animals/animals/snake/255c02e2c1.jpg,snake,76
156,animals/animals/snake/97ed7233a0.jpg,snake,76
157,animals/animals/snake/9b5d5ab8da.jpg,snake,76
158,animals/animals/snake/9ac132c555.jpg,snake,76
159,animals/animals/snake/36cc96437a.jpg,snake,76
160,animals/animals/snake/51e5b89cc5.jpg,snake,76
161,animals/animals/snake/71e9faecff.jpg,snake,76
162,animals/animals/snake/6307ae132f.jpg,snake,76
163,animals/animals/snake/0dd9e55a78.jpg,snake,76
164,animals/animals/snake/4ad3fbedde.jpg,snake,76
165,animals/animals/snake/05c353dc52.jpg,snake,76
166,animals/animals/snake/8dc203e3a9.jpg,snake,76
167,animals/animals/snake/27c00574e5.jpg,snake,76
168,animals/animals/snake/3b6d6e861d.jpg,snake,76
169,animals/animals/snake/5649b831d8.jpg,snake,76
170,animals/animals/snake/87c27d3f3f.jpg,snake,76
171,animals/animals/snake/38dcca56f9.jpg,snake,76
172,animals/animals/snake/2c5acd90f0.jpg,snake,76
173,animals/animals/snake/8bdaf65b8a.jpg,snake,76
174,animals/animals/snake/0c6f39489a.jpg,snake,76
175,animals/animals/snake/7526fa488c.jpg,snake,76
176,animals/animals/snake/874e35fa86.jpg,snake,76
177,animals/animals/snake/50afc21ee1.jpg,snake,76
178,animals/animals/snake/2c76f7d316.jpg,snake,76
179,animals/animals/snake/6e6f16d262.jpg,snake,76
180,animals/animals/hyena/13fae1e808.jpg,hyena,40
181,animals/animals/hyena/5b4833d127.jpg,hyena,40
182,animals/animals/hyena/435fca2001.jpg,hyena,40
183,animals/animals/hyena/29f9493dc2.jpg,hyena,40
184,animals/animals/hyena/0fa6e037e4.jpg,hyena,40
185,animals/animals/hyena/6dc20c20ba.jpg,hyena,40
186,animals/animals/hyena/0a66dde6c8.jpg,hyena,40
187,animals/animals/hyena/9a4f9f93d0.jpg,hyena,40
188,animals/animals/hyena/0ec0d8a1dd.jpg,hyena,40
189,animals/animals/hyena/1e3e222414.jpg,hyena,40
190,animals/animals/hyena/2a99170a1b.jpg,hyena,40
191,animals/animals/hyena/73a364efd9.jpg,hyena,40
192,animals/animals/hyena/780a991499.jpg,hyena,40
193,animals/animals/hyena/33d8edb88f.jpg,hyena,40
